"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Fahrzeug","Datum","ZeitBeginn","Dauer","Dauer[other]","Reiseroute"
"90","2022-05-02 17:36:24","1","de","1421936828","2022-05-02 17:35:50","2022-05-02 17:36:24","BMW","2022-05-02 00:00:00","1970-01-01 17:30:00","0.5","","Elektro Tankstelle suchen - Ladeprobleme"
"91","2022-05-02 18:37:18","1","de","561982265","2022-05-02 18:28:16","2022-05-02 18:37:18","BMW","2022-05-02 00:00:00","1970-01-01 18:45:00","1","","Blumenau - Augsburg

1. 45min Autobahnfahrt"
"92","2022-05-02 22:48:22","1","de","452028757","2022-05-02 22:44:30","2022-05-02 22:48:22","BMW","2022-05-02 00:00:00","1970-01-01 22:45:00","1,5","","Augsburg -Blumenau"
"93","2022-05-03 11:30:25","1","de","1621764405","2022-05-03 11:30:05","2022-05-03 11:30:25","BMW","2022-05-03 00:00:00","1970-01-01 11:30:00","0.5","","Blumenau - Germering"
"94","2022-05-03 12:44:48","1","de","1851845807","2022-05-03 12:44:12","2022-05-03 12:44:48","BMW","2022-05-03 00:00:00","1970-01-01 12:45:00","0.5","","Germering Heim"
"95","2022-05-03 20:53:16","1","de","794103806","2022-05-03 20:52:01","2022-05-03 20:53:16","Porsc","2022-05-03 00:00:00","1970-01-01 21:00:00","-oth-","","B30 Rtg Ulm- A7 Rtg Füssen - B312 Rtg Biberach"
"96","2022-05-04 18:42:09","1","de","1369820701","2022-05-04 18:41:33","2022-05-04 18:42:09","BMW","2022-05-04 00:00:00","1970-01-01 18:45:00","0.5","","Fahrt zur Schnelladestation Puchheim"
"97","2022-05-04 18:51:18","1","de","1717295862","2022-05-04 18:50:43","2022-05-04 18:51:18","Porsc","2022-05-04 00:00:00","1970-01-01 18:45:00","0.5","","B30 Rtg Laupheim"
"98","2022-05-04 19:45:19","1","de","563950868","2022-05-04 19:44:39","2022-05-04 19:45:19","BMW","2022-05-04 00:00:00","1970-01-01 19:45:00","1,5","","Puchheim - Langwied - Landsberg "
"99","2022-05-05 06:24:40","1","de","141278643","2022-05-05 06:24:10","2022-05-05 06:24:40","Porsc","2022-05-05 00:00:00","1970-01-01 06:30:00","0.5","","B30 Rtg Ravensburg "
